邓丽君怀旧音乐「飞鸿制作」,#genre#
你怎么说-邓丽君,https://txmov2.a.kwimgs.com/bs3/video-hls/5201376192625816947_hlsb.m3u8
漫步人生路-邓丽君,https://txmov2.a.kwimgs.com/bs3/video-hls/5201376279049487649_a7e2d728ef87cc3b_7636_hlsb.m3u8
我只在乎你-邓丽君,https://txmov2.a.kwimgs.com/bs3/video-hls/5188146953183755829_ccfe756e41aceceb_8978_hlsb.m3u8
我只在乎你-邓丽君（一）,https://txmov2.a.kwimgs.com/bs3/video-hls/5188146953183755829_ccfe756e41aceceb_8978_hlsb.m3u8
恰似你的温柔-邓丽君,https://txmov2.a.kwimgs.com/bs3/video-hls/5201376279049487649_a7e2d728ef87cc3b_7636_hlsb.m3u8
小城故事-邓丽君,https://txmov2.a.kwimgs.com/bs3/video-hls/5188146953183755829_ccfe756e41aceceb_8978_hlsb.m3u8
月亮代表我的心-邓丽君,https://txmov2.a.kwimgs.com/bs3/video-hls/5188146953183755829_ccfe756e41aceceb_8978_hlsb.m3u8
甜蜜蜜-邓丽君,https://txmov2.a.kwimgs.com/bs3/video-hls/5188146953183755829_ccfe756e41aceceb_8978_hlsb.m3u8



央視「新飞鸿制作」,#genre#
CCTV1,https://hls.iill.top/api/CCTV1/index.m3u8
CCTV2,https://hls.iill.top/api/CCTV2/index.m3u8
CCTV3,https://hls.iill.top/api/CCTV3/index.m3u8
CCTV4,https://snap.iill.top/youtube/@LiveNow24H/index.m3u8
CCTV5,https://hls.iill.top/api/CCTV5/index.m3u8
CCTV5+,https://hls.iill.top/api/CCTV5+/index.m3u8
CCTV6,https://hls.iill.top/api/CCTV6/index.m3u8
CCTV7,https://hls.iill.top/api/CCTV7/index.m3u8
CCTV8,https://hls.iill.top/api/CCTV8/index.m3u8
CCTV9,https://hls.iill.top/api/CCTV9/index.m3u8
CCTV10,https://hls.iill.top/api/CCTV10/index.m3u8
CCTV11,https://hls.iill.top/api/CCTV11/index.m3u8
CCTV12,https://hls.iill.top/api/CCTV12/index.m3u8
CCTV13,https://hls.iill.top/api/CCTV13/index.m3u8
CCTV14,https://hls.iill.top/api/CCTV14/index.m3u8
CCTV15,https://hls.iill.top/api/CCTV15/index.m3u8
CCTV16,https://hls.iill.top/api/CCTV16/index.m3u8
CCTV17,https://hls.iill.top/api/CCTV17/index.m3u8
CGTN,https://tv.iill.top/CGTN/cgtn
CGTN外语纪录,https://tv.iill.top/CGTN/cgtn_doc
CGTN Русский「回看」,https://tv.iill.top/CGTN/cgtn_russian
CGTN法语,https://tv.iill.top/CGTN/cgtn_francais
CGTN西班牙语,https://tv.iill.top/CGTN/cgtn_espanol
CGTN阿拉伯语,https://tv.iill.top/CGTN/cgtn_arabic

港澳「新飞鸿制作」,#genre#
翡翠台,https://hls.iill.top/api/TVB-Jade/index.m3u8
TVB Plus,https://hls.iill.top/api/TVB-Plus/index.m3u8
無綫新聞台,https://hls.iill.top/api/TVB-News/index.m3u8
明珠台,https://hls.iill.top/api/TVB-Pearl/index.m3u8
鳳凰衛視中文台,https://tv.iill.top/phenix/fhzw
鳳凰衛視資訊台,https://tv.iill.top/phenix/fhzx
鳳凰衛視香港台,https://tv.iill.top/phenix/fhhk
商業電台 雷霆881,https://881.touch-u.fun/playlist.m3u8
商業電台 叱咤903,https://903.touch-u.fun/playlist.m3u8
Now新聞台,https://t.ttvb.eu.org/tvb/now-332/index.m3u8
Now財經台,https://t.ttvb.eu.org/tvb/now-333/index.m3u8
Now Sports 精選,https://t.ttvb.eu.org/tvb/now-630/index.m3u8
ViuTV,https://t.ttvb.eu.org/tvb/ViuTV/index.m3u8
ViuTVsix,https://t.ttvb.eu.org/tvb/ViuTVsix/index.m3u8
HOY 國際財經台,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 資訊台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
HOY生活台,https://edge.media.seaovers.live/856b503e276cc4912b6c0b42cb01878d/baselive/v2/6TV1VW9W.m3u8
HOY劇集台,https://edge.media.seaovers.live/856b503e276cc49100c1dde528ee8cde/baselive/v2/DPL3J6FY.m3u8
HOY怪談台,https://edge.media.seaovers.live/856b503e276cc49197dd54aa8a0c740e/baselive/v2/TPLUZIFF.m3u8
HOY體育台,https://edge.media.seaovers.live/856b503e276cc4917dc388396c23668b/baselive/v2/J0LMZVOV.m3u8
RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
澳門衛星,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡萄牙,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8

台湾「新飞鸿制作」,#genre#
博斯運動一台,https://hls.iill.top/api/Sports-Network/index.m3u8
博斯運動二台,https://hls.iill.top/api/Football-Channel/index.m3u8
博斯無限台,https://tv.iill.top/FainTV/129
博斯無限二台,https://tv.iill.top/FainTV/418
博斯高球台,https://tv.iill.top/FainTV/108
博斯高球二台,https://tv.iill.top/FainTV/125
博斯網球台,https://tv.iill.top/FainTV/53
博斯魅力台,https://tv.iill.top/FainTV/135
緯來日本「Relay」,https://hls.iill.top/api/VL-Japan/index.m3u8
緯來體育台,https://hls.iill.top/api/VL-Sports/index.m3u8
緯來電影台,https://hls.iill.top/api/VL-Movies/index.m3u8
緯來綜合台,https://hls.iill.top/api/VL-ONTV/index.m3u8
緯來戲劇台,https://hls.iill.top/api/VL-Drama/index.m3u8
緯來育樂台,https://hls.iill.top/api/VL-E/index.m3u8
年代新聞台,https://hls.iill.top/api/Era-News/index.m3u8
中天亞洲台,https://tv.iill.top/FainTV/121
中天綜合台,https://hls.iill.top/api/Cti-K/index.m3u8
中天娛樂台,https://hls.iill.top/api/Cti-E/index.m3u8
中天新聞台,https://tv.iill.top/4gtv/4gtv-4gtv009
中視,https://tv.iill.top/4gtv/4gtv-4gtv040
中視新聞,https://tv.iill.top/4gtv/4gtv-4gtv074
東森新聞台,https://tv.iill.top/4gtv/4gtv-4gtv152
東森財經新聞台,https://tv.iill.top/4gtv/4gtv-4gtv153
東森電影台,https://hls.iill.top/api/ET-Movie/index.m3u8
東森洋片台,https://hls.iill.top/api/ET-Foreign-Movie-Channel/index.m3u8
東森綜合台,https://hls.iill.top/api/ET-Variety-Channel/index.m3u8
東森戲劇台,https://hls.iill.top/api/ET-Drama-Channel/index.m3u8
東森幼幼台,https://hls.iill.top/api/YoYo-TV/index.m3u8
TVBS,https://tv.iill.top/4gtv/4gtv-4gtv073
TVBS新聞,https://tv.iill.top/4gtv/4gtv-4gtv072
TVBS歡樂台,https://tv.iill.top/4gtv/4gtv-4gtv068
TVBS精采台,https://tv.iill.top/4gtv/4gtv-4gtv067
KLT-靖天國際台,https://tv.iill.top/4gtv/4gtv-4gtv063
Nice TV靖天歡樂台,https://tv.iill.top/4gtv/4gtv-4gtv054
靖天映畫,https://tv.iill.top/4gtv/4gtv-4gtv055
靖天戲劇台,https://tv.iill.top/4gtv/4gtv-4gtv058
靖天日本台,https://tv.iill.top/4gtv/4gtv-4gtv047
靖天綜合台,https://tv.iill.top/4gtv/4gtv-4gtv046
靖天育樂台,https://tv.iill.top/4gtv/4gtv-4gtv062
靖天資訊台,https://tv.iill.top/4gtv/4gtv-4gtv065
靖天電影台,https://tv.iill.top/4gtv/4gtv-4gtv061
靖天卡通台,https://tv.iill.top/4gtv/4gtv-4gtv044
靖洋卡通台Nice Bingo,https://tv.iill.top/4gtv/4gtv-4gtv057
靖洋戲劇台,https://tv.iill.top/4gtv/4gtv-4gtv045
龍華偶像台,https://tv.iill.top/ofiii/litv-xinchuang12
龍華卡通台,https://tv.iill.top/ofiii/litv-xinchuang01
龍華戲劇台,https://tv.iill.top/ofiii/litv-xinchuang18
龍華日韓台,https://tv.iill.top/ofiii/litv-xinchuang11
龍華洋片台,https://tv.iill.top/ofiii/litv-xinchuang02
龍華經典台,https://tv.iill.top/ofiii/litv-xinchuang21
龍華電影台,https://tv.iill.top/ofiii/litv-xinchuang03
八大精彩台,https://tv.iill.top/4gtv/4gtv-4gtv034
八大綜藝台,https://tv.iill.top/4gtv/4gtv-4gtv039
台視新聞,https://tv.iill.top/ofiii/4gtv-4gtv051
公視戲劇,https://tv.iill.top/4gtv/4gtv-4gtv042
台灣戲劇台,https://tv.iill.top/ofiii/litv-xinchuang22
寰宇新聞台,https://tv.iill.top/4gtv/litv-longturn14
寰宇新聞台灣台,https://tv.iill.top/4gtv/4gtv-4gtv156
寰宇財經台,https://tv.iill.top/ofiii/4gtv-4gtv158
華視,https://tv.iill.top/4gtv/4gtv-4gtv041
華視新聞,https://tv.iill.top/4gtv/4gtv-4gtv052
民視,https://tv.iill.top/4gtv/4gtv-4gtv002
民視台灣台,https://tv.iill.top/4gtv/4gtv-4gtv001
民視影劇台,https://tv.iill.top/4gtv/litv-ftv09
民視新聞台,https://tv.iill.top/4gtv/litv-ftv13
民視旅遊台,https://tv.iill.top/4gtv/litv-ftv07
民視第一台,https://tv.iill.top/4gtv/4gtv-4gtv003
民視綜藝台,https://tv.iill.top/4gtv/4gtv-4gtv004
三立綜合台,https://tv.iill.top/4gtv/4gtv-live207
三立新聞iNEWS,https://tv.iill.top/4gtv/4gtv-live089
動物星球,https://hls.iill.top/api/Animal-Planet/index.m3u8
好萊塢電影台,https://hls.iill.top/api/Hollywood-Movie/index.m3u8
LS Time電影台,https://hls.iill.top/api/LSTIME-Movie/index.m3u8
CINEMAX,https://hls.iill.top/api/Cinemax/index.m3u8
MTV,https://hls.iill.top/api/MTV-Live/index.m3u8
愛爾達娛樂台,https://tv.iill.top/4gtv/4gtv-4gtv070
愛爾達生活旅遊台,https://tv.iill.top/4gtv/4gtv-live120
鏡電視新聞台,https://tv.iill.top/4gtv/4gtv-4gtv075
倪珍播新聞,https://tv.iill.top/ofiii/nnews-zh
半島國際新聞台,https://tv.iill.top/4gtv/4gtv-live157
DW德國之聲,https://tv.iill.top/4gtv/4gtv-live071
FRANCE24 英文台,https://tv.iill.top/4gtv/4gtv-live146
NHK WORLD-JAPAN,https://tv.iill.top/4gtv/4gtv-live168
CNBC Asia 財經台,https://tv.iill.top/4gtv/4gtv-live130
SBN全球財經台,https://tv.iill.top/4gtv/4gtv-live060
Bloomberg TV,https://tv.iill.top/4gtv/4gtv-live059
DayStar,https://tv.iill.top/ofiii/daystar
亞洲旅遊台,https://tv.iill.top/4gtv/4gtv-4gtv076
時尚運動X,https://tv.iill.top/4gtv/4gtv-4gtv014
智林體育台,https://tv.iill.top/4gtv/4gtv-4gtv101
FashionTV 時尚頻道,https://tv.iill.top/4gtv/4gtv-live085
第1商業,https://tv.iill.top/ofiii/4gtv-4gtv104
amc電影台,https://tv.iill.top/4gtv/4gtv-4gtv017
My Cinema Europe HD 我的歐洲電影,https://tv.iill.top/4gtv/litv-ftv10
影迷數位電影台,https://tv.iill.top/4gtv/4gtv-4gtv011
影迷數位紀實台,https://tv.iill.top/4gtv/litv-ftv15
CinemaWorld,https://tv.iill.top/4gtv/4gtv-live069
經典電影台,https://tv.iill.top/4gtv/4gtv-live021
Love Nature,https://tv.iill.top/4gtv/4gtv-live208
視納華仁紀實頻道,https://tv.iill.top/4gtv/4gtv-4gtv013
CI 罪案偵查頻道,https://tv.iill.top/4gtv/4gtv-live027
History 歷史頻道,https://tv.iill.top/4gtv/4gtv-live026
MagellanTV頻道 (麥哲倫頻道),https://tv.iill.top/4gtv/4gtv-live123
ROCK Action,https://tv.iill.top/4gtv/4gtv-live138
ROCK Entertainment,https://tv.iill.top/4gtv/4gtv-live080
ROCK Xstream搖滾極限頻道,https://tv.iill.top/4gtv/4gtv-live124
ARIRANG阿里郎頻道,https://tv.iill.top/4gtv/4gtv-4gtv079
韓國娛樂台 KMTV,https://tv.iill.top/4gtv/4gtv-4gtv016
Lifetime 娛樂頻道,https://tv.iill.top/4gtv/4gtv-live029
fun探索娛樂台,https://tv.iill.top/4gtv/4gtv-live011
HITS頻道,https://tv.iill.top/4gtv/4gtv-live620
豬哥亮歌廳秀,https://tv.iill.top/4gtv/4gtv-4gtv006
采昌影劇台,https://tv.iill.top/4gtv/4gtv-4gtv049
CLASSICA 古典樂,https://tv.iill.top/4gtv/4gtv-4gtv059
Mezzo Live HD,https://tv.iill.top/4gtv/4gtv-4gtv083
電影原聲台CMusic,https://tv.iill.top/4gtv/4gtv-live031
TRACE Urban,https://tv.iill.top/4gtv/4gtv-4gtv082
TRACE Sport Stars,https://tv.iill.top/4gtv/4gtv-4gtv077
GINX Esports TV,https://tv.iill.top/4gtv/4gtv-4gtv053
DreamWorks 夢工廠動畫,https://tv.iill.top/4gtv/4gtv-live017
精選動漫台,https://tv.iill.top/4gtv/4gtv-live024
經典卡通台,https://tv.iill.top/4gtv/4gtv-live022
MOMO親子台,https://tv.iill.top/4gtv/4gtv-live107
Nick Jr. 兒童頻道,https://tv.iill.top/4gtv/4gtv-live032
尼克兒童頻道,https://tv.iill.top/4gtv/4gtv-live105
Pet Club TV,https://tv.iill.top/4gtv/4gtv-4gtv110
LiveABC互動英語頻道,https://tv.iill.top/4gtv/4gtv-live030
ELTV英語學習台,https://tv.iill.top/4gtv/litv-xinchuang20
Smart知識台,https://tv.iill.top/ofiii/litv-xinchuang19
達文西頻道,https://tv.iill.top/4gtv/4gtv-4gtv018
滾動力rollor,https://tv.iill.top/4gtv/4gtv-live012
INULTRA,https://tv.iill.top/4gtv/4gtv-live096
